grid_id	run	n_worlds	rejections	power_hat	cp95_low	cp95_high	mcse	true_bridge_slope	observed_slope_mean	bias	rmse
G01	R1	88	3	0.03409090909090909	0.007086308337623987	0.09640956259200284	0.01934399102383678	5.873688631216023e-07	0.00018087555859193447	0.00018028818972881287	0.0015563062116575592
G01	R2	88	6	0.06818181818181818	0.025430950524246043	0.1425161697160512	0.026869435544710645	5.873688631216023e-07	-0.0003807062843581581	-0.0003812936532212797	0.0019322730057393274
G02	R1	88	6	0.06818181818181818	0.025430950524246043	0.1425161697160512	0.026869435544710645	2.349475452486409e-06	0.00027820693859770837	0.00027585746314522195	0.001789806984394117
G02	R2	88	9	0.10227272727272728	0.04784291155377594	0.18528608464361965	0.03230061506044809	2.349475452486409e-06	-4.1331898214193976e-05	-4.3681373666680386e-05	0.0018760295874741158
G03	R1	88	3	0.03409090909090909	0.007086308337623987	0.09640956259200284	0.01934399102383678	3.823698549810905e-05	-0.00018997563870084617	-0.0002282126241989552	0.001641832880106415
G03	R2	88	5	0.056818181818181816	0.018703863483034114	0.12763240126903339	0.024677436333866227	3.823698549810905e-05	-5.068655385673311e-05	-8.892353935484215e-05	0.0018794728898705545
G04	R1	88	4	0.045454545454545456	0.012521823121316587	0.11230924918391606	0.02220473683905442	5.584899174768344e-05	6.724424594934277e-05	1.139525420165933e-05	0.0014114716041448234
G04	R2	88	4	0.045454545454545456	0.012521823121316587	0.11230924918391606	0.02220473683905442	5.584899174768344e-05	5.652492209435742e-05	6.759303466739836e-07	0.001741720595298017
G05	R1	333	24	0.07207207207207207	0.046720974491027016	0.10534141451148024	0.01417158775145988	0.00224	-0.00039417129937162197	-0.002634171299371622	0.003076246507937882
G05	R2	333	26	0.07807807807807808	0.05163521201558381	0.11231064400141233	0.014702443240576624	0.00224	-0.00020142344148792993	-0.00244142344148793	0.0030985188868971696
G06	R1	265	15	0.05660377358490566	0.032023255169043585	0.09164167399363071	0.014195373469118467	0.0044800000000000005	-0.0007192734025729603	-0.005199273402572961	0.00541758194515152
G06	R2	265	19	0.07169811320754717	0.04371627265841272	0.10970287180349197	0.01584803943234464	0.0044800000000000005	-0.00045043472790099137	-0.004930434727900992	0.0052701917348862435
G07	R1	36	3	0.08333333333333333	0.01752649592393462	0.2246897605569731	0.04606423319938055	0.00896	-0.001289072377662576	-0.010249072377662575	0.010354255887128643
G07	R2	36	4	0.1111111111111111	0.031116139945015234	0.2606109205108292	0.05237828008789241	0.00896	-0.0010683889819221694	-0.010028388981922168	0.010159399629190335
