grid_id	run	expected_worlds	found_worlds	A_uV	beta_gen	true_bridge_slope	rejection_count	power_hat	power_cp95_low	power_cp95_high	power_mcse	observed_slope_mean	observed_slope_sample_sd	bias	rmse	coverage_count	coverage_rate	coverage_cp95_low	coverage_cp95_high	coverage_mcse	robustfit_iteration_limit_total	robustfit_fit_total	robustfit_iteration_limit_rate	elapsed_s_mean	elapsed_s_max	peak_memory_bytes_mean	peak_memory_bytes_max	paper_contract_sha256
G01	R1	88	88	0.052877352944147	0.00361050970350995	5.873688631216023e-07	3	0.03409090909090909	0.007086308337623987	0.09640956259200284	0.01934399102383678	0.00018087555859193445	0.0015546870069439989	0.00018028818972881284	0.0015563062116575592	85	0.9659090909090909	0.9035904374079972	0.992913691662376	0.019343991023836774	3532131.0	117239232.0	0.030127551500849135	314.9773832284091	354.0410798	3126097175.2727275	3148468224.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G01	R2	88	88	0.052877352944147	0.00361050970350995	5.873688631216023e-07	6	0.06818181818181818	0.025430950524246043	0.1425161697160512	0.026869435544710645	-0.0003807062843581581	0.001905134871526784	-0.0003812936532212797	0.0019322730057393274	82	0.9318181818181818	0.8574838302839488	0.974569049475754	0.026869435544710656	3532131.0	117239232.0	0.030127551500849135	314.9773832284091	354.0410798	3126097175.2727275	3148468224.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G02	R1	88	88	0.105754705888294	0.0144420388140398	2.349475452486409e-06	6	0.06818181818181818	0.025430950524246043	0.1425161697160512	0.026869435544710645	0.0002782069385977085	0.0017785549788869447	0.00027585746314522206	0.001789806984394117	82	0.9318181818181818	0.8574838302839488	0.974569049475754	0.026869435544710656	3533531.0	117239232.0	0.03013949289602989	330.57226710227275	385.5868798	3154462952.7272725	3168464896.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G02	R2	88	88	0.105754705888294	0.0144420388140398	2.349475452486409e-06	9	0.10227272727272728	0.04784291155377594	0.18528608464361965	0.03230061506044809	-4.133189821419394e-05	0.001886269040363715	-4.368137366668035e-05	0.0018760295874741158	79	0.8977272727272727	0.8147139153563804	0.952157088446224	0.03230061506044809	3533531.0	117239232.0	0.03013949289602989	330.57226710227275	385.5868798	3154462952.7272725	3168464896.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G03	R1	88	88	0.4266345953514722	0.2350397098685	3.823698549810905e-05	3	0.03409090909090909	0.007086308337623987	0.09640956259200284	0.01934399102383678	-0.00018997563870084617	0.001635212418916735	-0.0002282126241989552	0.001641832880106415	85	0.9659090909090909	0.9035904374079972	0.992913691662376	0.019343991023836774	3533379.0	117239232.0	0.030138196401695978	339.4565288556818	387.4899636	3160018711.2727275	3169505280.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G03	R2	88	88	0.4266345953514722	0.2350397098685	3.823698549810905e-05	5	0.056818181818181816	0.018703863483034114	0.12763240126903339	0.024677436333866227	-5.068655385673313e-05	0.00188812673515256	-8.892353935484218e-05	0.0018794728898705545	83	0.9431818181818182	0.8723675987309666	0.9812961365169659	0.024677436333866216	3533379.0	117239232.0	0.030138196401695978	339.4565288556818	387.4899636	3160018711.2727275	3169505280.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G04	R1	88	88	0.5156106918378648	0.343299312061954	5.584899174768344e-05	4	0.045454545454545456	0.012521823121316587	0.11230924918391606	0.02220473683905442	6.724424594934278e-05	0.0014195140697582343	1.1395254201659344e-05	0.0014114716041448234	84	0.9545454545454546	0.887690750816084	0.9874781768786834	0.02220473683905441	3533177.0	117239232.0	0.030136473428962755	329.39380056136366	388.2443293	3158714740.3636365	3170615296.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G04	R2	88	88	0.5156106918378648	0.343299312061954	5.584899174768344e-05	4	0.045454545454545456	0.012521823121316587	0.11230924918391606	0.02220473683905442	5.652492209435742e-05	0.0017517017519520812	6.759303466739836e-07	0.001741720595298017	84	0.9545454545454546	0.887690750816084	0.9874781768786834	0.02220473683905441	3533177.0	117239232.0	0.030136473428962755	329.39380056136366	388.2443293	3158714740.3636365	3170615296.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G05	R1	333	333	3.2654140348111795	13.7691019113286	0.00224	24	0.07207207207207207	0.046720974491027016	0.10534141451148024	0.01417158775145988	-0.00039417129937162197	0.0015912378390628876	-0.002634171299371622	0.003076246507937882	215	0.6456456456456456	0.591651944416963	0.697022481322875	0.026211621216555632	13360802.0	443643912.0	0.030116049468069787	344.40376233693695	387.0495414	3160181307.963964	3177385984.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
G05	R2	333	333	3.2654140348111795	13.7691019113286	0.00224	26	0.07807807807807808	0.05163521201558381	0.11231064400141233	0.014702443240576624	-0.00020142344148792995	0.0019108206465056697	-0.00244142344148793	0.0030985188868971696	247	0.7417417417417418	0.6912081761546451	0.7879174050918867	0.023984537705529264	13360802.0	443643912.0	0.030116049468069787	344.40376233693695	387.0495414	3160181307.963964	3177385984.0	E3C35D065F6819AA611B7A60573689BFDCED06E399F80B6DAAE40F46BE3E1863
