checkpoint	arm	metrics
P01/1	Mpower	 [Mpower p=0.827698 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.827698 dcount=0] [Mpower p=0.0803223 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0803223 dcount=0]
P01/2	Mpower	 [Mpower p=0.897705 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.897705 dcount=0] [Mpower p=0.966064 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.966064 dcount=0]
P01/3	Mpower	 [Mpower p=0.655853 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.655853 dcount=0] [Mpower p=0.290039 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.290039 dcount=0]
P01/4	Mpower	 [Mpower p=0.803162 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.803162 dcount=0] [Mpower p=0.345459 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.345459 dcount=0]
P01/5	Mpower	 [Mpower p=0.375641 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.375641 dcount=0] [Mpower p=0.498291 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.498291 dcount=0]
P01/6	Mpower	 [Mpower p=0.888214 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.888214 dcount=0] [Mpower p=0.496338 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.496338 dcount=0]
P01/7	Mpower	 [Mpower p=0.71524 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.71524 dcount=0] [Mpower p=0.843506 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.843506 dcount=0]
P01/8	Mpower	 [Mpower p=0.546112 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.546112 dcount=0] [Mpower p=0.116211 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.116211 dcount=0]
P01/9	Mpower	 [Mpower p=0.978882 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.978882 dcount=0] [Mpower p=0.131836 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.131836 dcount=0]
P01/10	Mpower	 [Mpower p=0.14444 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.14444 dcount=0] [Mpower p=0.399414 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.399414 dcount=0]
P01/11	Mpower	 [Mpower p=0.190704 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.190704 dcount=0] [Mpower p=0.119385 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.119385 dcount=0]
P01/12	Mpower	 [Mpower p=0.382477 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.382477 dcount=0] [Mpower p=0.268555 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.268555 dcount=0]
P01/13	Mpower	 [Mpower p=0.348633 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.348633 dcount=0] [Mpower p=0.144775 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.144775 dcount=0]
P01/14	Mpower	 [Mpower p=0.052002 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.052002 dcount=0] [Mpower p=0.373047 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.373047 dcount=0]
P01/15	Mpower	 [Mpower p=0.835663 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.835663 dcount=0] [Mpower p=0.450928 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.450928 dcount=0]
P01/16	Mpower	 [Mpower p=0.0588989 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0588989 dcount=0] [Mpower p=0.701904 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.701904 dcount=0]
P01/17	Mpower	 [Mpower p=0.0697937 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0697937 dcount=0] [Mpower p=0.297852 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.297852 dcount=0]
P01/18	Mpower	 [Mpower p=0.0207825 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0207825 dcount=0] [Mpower p=0.244873 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.244873 dcount=0]
P01/19	Mpower	 [Mpower p=0.7229 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.7229 dcount=0] [Mpower p=0.235596 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.235596 dcount=0]
P01/20	Mpower	 [Mpower p=0.515106 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.515106 dcount=0] [Mpower p=0.678467 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.678467 dcount=0]
P01/21	Mpower	 [Mpower p=0.303162 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.303162 dcount=0] [Mpower p=0.60083 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.60083 dcount=0]
P01/22	Mpower	 [Mpower p=0.0278931 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0278931 dcount=0] [Mpower p=0.98291 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.98291 dcount=0]
P01/23	Mpower	 [Mpower p=0.447205 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.447205 dcount=0] [Mpower p=0.178223 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.178223 dcount=0]
P01/24	Mpower	 [Mpower p=0.64032 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.64032 dcount=0] [Mpower p=0.513916 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.513916 dcount=0]
P01/25	Mpower	 [Mpower p=0.0281372 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0281372 dcount=0] [Mpower p=0.0510254 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0510254 dcount=0]
P01/26	Mpower	 [Mpower p=0.325439 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.325439 dcount=0] [Mpower p=0.98291 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.98291 dcount=0]
P01/27	Mpower	 [Mpower p=0.485291 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.485291 dcount=0] [Mpower p=0.465576 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.465576 dcount=0]
P01/28	Mpower	 [Mpower p=0.294342 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.294342 dcount=0] [Mpower p=0.231934 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.231934 dcount=0]
P01/29	Mpower	 [Mpower p=0.357361 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.357361 dcount=0] [Mpower p=0.491699 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.491699 dcount=0]
P01/30	Mpower	 [Mpower p=0.107086 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.107086 dcount=0] [Mpower p=0.345703 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.345703 dcount=0]
P01/31	Mpower	 [Mpower p=0.153656 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.153656 dcount=0] [Mpower p=0.0646973 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0646973 dcount=0]
P01/32	Mpower	 [Mpower p=0.242523 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.242523 dcount=0] [Mpower p=0.687012 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.687012 dcount=0]
