cell_id	run	n_worlds	slope_mean	slope_sample_sd	rejections_alpha_0_05	rejection_rate	cp95_low	cp95_high
P01	R1	1024	-0.0008033136178086319	0.0013559984014856821	80	0.078125	0.06243142997597932	0.0962922139785159
P01	R2	832	-0.000725767340986243	0.0017923853410248536	39	0.046875	0.03354180652566847	0.0635253439824195
P02	R1	1024	-0.0008026709682487432	0.0015572911118930323	80	0.078125	0.06243142997597932	0.0962922139785159
P02	R2	832	-0.000641827191959387	0.0019021794846402747	52	0.0625	0.047026625699104194	0.08115591031307308
P03	R1	1024	-0.0007056970331039621	0.001463369562996122	48	0.046875	0.03476102518989649	0.06167180803949795
P03	R2	832	-0.0006053720635604376	0.0018881656315175922	91	0.109375	0.08898012198385621	0.1325831885180009
P04	R1	1024	0.00037696439886065087	0.0015790288049194908	80	0.078125	0.06243142997597932	0.0962922139785159
P04	R2	832	0.00032537438469136906	0.001975496804668019	104	0.125	0.10328687004640419	0.14940859501848497
P05	R1	1024	0.00038976050193967885	0.001619971732197847	64	0.0625	0.04846174045925703	0.07911366017826058
P05	R2	832	0.0006356369754967599	0.0019759578869065126	65	0.078125	0.060809940180044944	0.09849566334155235
P06	R1	1024	0.00034783076324278395	0.0014098864322813476	32	0.03125	0.02147115097435959	0.043830979383908036
P06	R2	832	0.0003339244336729519	0.0019236444356993336	52	0.0625	0.047026625699104194	0.08115591031307308
P07	R1	1024	-0.0003231545574011493	0.001527012336914457	48	0.046875	0.03476102518989649	0.06167180803949795
P07	R2	832	-0.00025701647171619984	0.0018159129968335478	13	0.015625	0.008345200123043175	0.026571020345773376
P08	R1	1024	-0.0003670307172158603	0.0016347517297841659	64	0.0625	0.04846174045925703	0.07911366017826058
P08	R2	832	-0.00015855268465944782	0.0018156794563270176	26	0.03125	0.02051300947516169	0.04545477714051706
P09	R1	1024	-3.4931719141322685e-05	0.001446176556399486	32	0.03125	0.02147115097435959	0.043830979383908036
P09	R2	832	-1.1981300263594998e-05	0.001908428541879848	39	0.046875	0.03354180652566847	0.0635253439824195
P10	R1	1024	0.10710476246169116	0.006453769909810573	1024	1.0	0.9964040595931655	1.0
P10	R2	832	0.10719235485328206	0.007414243413440767	832	1.0	0.9955760652122835	1.0
