contrast	run	n_pairs	paired_difference_mean	paired_difference_sample_sd
pre_minus_post_canonical	R1	64	0.0011802780166692828	0.0007465192725622589
pre_minus_post_canonical	R2	64	0.001051141725677612	0.0008385254679222777
pre_minus_post_half	R1	64	0.0011924314701884221	0.001028496194985388
pre_minus_post_half	R2	64	0.001277464167456147	0.0011240173119823663
pre_minus_post_quarter	R1	64	0.001053527796346746	0.0008651980157639294
pre_minus_post_quarter	R2	64	0.0009392964972333895	0.0008520312909355135
symmetric_minus_post_canonical	R1	64	0.0004801590604074826	0.0006496420869076799
symmetric_minus_post_canonical	R2	64	0.0004687508692700432	0.0006306200793367049
symmetric_minus_post_half	R1	64	0.00043564025103288295	0.0007026586627375608
symmetric_minus_post_half	R2	64	0.0004832745072999391	0.0007376866443828434
symmetric_minus_post_quarter	R1	64	0.0006707653139626394	0.000627599903948136
symmetric_minus_post_quarter	R2	64	0.0005933907632968426	0.0005928507453746985
post_half_minus_canonical	R1	64	6.426495598886844e-07	0.0007479460771122821
post_half_minus_canonical	R2	64	8.394014902685615e-05	0.0008217523208044638
post_quarter_minus_canonical	R1	64	9.761658470466981e-05	0.0006882419592196154
post_quarter_minus_canonical	R2	64	0.00012039527742580549	0.0007987865338728263
P10_minus_P01	R1	64	0.1079080760794998	0.0066457371121153574
P10_minus_P01	R2	64	0.1079181221942683	0.007535215904117776
