cell_id	seed_index	row_index	subject	run	Mpower	Mphase	n_pairs
P01	1	1	CS41	R1	-0.0106956371519498	0	14
P01	1	2	CS41	R2	-0.0106915952402683	0	14
P01	1	3	CS42	R1	-0.00904045203549654	0	14
P01	1	4	CS42	R2	-0.00528211703041595	0	14
P01	1	5	CS43	R1	0.00719451724810151	0	14
P01	1	6	CS43	R2	-0.00464625378223517	0	14
P01	1	7	CS44	R1	-0.00317265242413731	0	14
P01	1	8	CS47	R1	-0.00644335121924212	0	14
P01	1	9	CS47	R2	-0.0101240005722817	0	14
P01	1	10	CS48	R1	-0.0078532875285665	0	14
P01	1	11	CS48	R2	0.00119414489111209	0	14
P01	1	12	CS49	R1	-0.00409155088050248	0	12
P01	1	13	CS49	R2	-0.0123431374028761	0	14
P01	1	14	CS51	R1	0.00386416252438272	0	14
P01	1	15	CS51	R2	0.00231514403722885	0	12
P01	1	16	CS53	R1	0.00198687065591667	0	12
P01	1	17	CS53	R2	0.00710438556137489	0	8
P01	1	18	CS54	R1	-0.00531199523980971	0	7
P01	1	19	CS54	R2	-0.00650229550605402	0	7
P01	1	20	CS55	R1	0.0146285357177722	0	14
P01	1	21	CS55	R2	-0.00471004230000026	0	14
P01	1	22	CS56	R1	-0.00156810859561131	0	12
P01	1	23	CS56	R2	-0.00726858561683871	0	12
P01	1	24	CS57	R1	0.00632137831123885	0	12
P01	1	25	CS57	R2	0.000535322035479478	0	12
P01	1	26	CS58	R1	0.00530202994360402	0	7
P01	1	27	CS60	R1	0.00848191131785061	0	14
P01	1	28	CS62	R1	-0.00605143251000764	0	7
P01	1	29	CS62	R2	0.00653576558313805	0	7
P01	2	1	CS41	R1	-0.00766547756697619	0	14
P01	2	2	CS41	R2	-0.00432506920025966	0	14
P01	2	3	CS42	R1	-0.00635880974387207	0	14
P01	2	4	CS42	R2	-0.00714245587113424	0	14
P01	2	5	CS43	R1	0.00770821458606411	0	14
P01	2	6	CS43	R2	-0.000758102110067947	0	14
P01	2	7	CS44	R1	0.012685716808612	0	14
P01	2	8	CS47	R1	-0.0069505880039777	0	14
P01	2	9	CS47	R2	0.00058150883967651	0	14
P01	2	10	CS48	R1	-0.000910503667180846	0	14
P01	2	11	CS48	R2	0.00195590199806576	0	14
P01	2	12	CS49	R1	-0.000615252111135956	0	12
P01	2	13	CS49	R2	0.00283402548582077	0	14
P01	2	14	CS51	R1	-0.00653923767567658	0	14
P01	2	15	CS51	R2	0.0030239255759853	0	12
P01	2	16	CS53	R1	-0.00951975821899521	0	12
P01	2	17	CS53	R2	0.0153497494423923	0	8
P01	2	18	CS54	R1	0.00156724218136874	0	7
P01	2	19	CS54	R2	-0.010030564373544	0	7
P01	2	20	CS55	R1	0.00851597639527915	0	14
P01	2	21	CS55	R2	-0.00239932201229609	0	14
P01	2	22	CS56	R1	-0.00811282557106079	0	12
P01	2	23	CS56	R2	0.00277109060005911	0	12
P01	2	24	CS57	R1	0.00384955866061452	0	12
P01	2	25	CS57	R2	-0.0010278566053087	0	12
P01	2	26	CS58	R1	0.0134387628761347	0	7
P01	2	27	CS60	R1	-0.0010696081534823	0	14
P01	2	28	CS62	R1	0.00384406921784311	0	7
P01	2	29	CS62	R2	-0.00188365389928412	0	7
P01	3	1	CS41	R1	0.00603256078133244	0	14
P01	3	2	CS41	R2	0.00164592714141933	0	14
P01	3	3	CS42	R1	0.00942616751004376	0	14
P01	3	4	CS42	R2	-0.00408046794473357	0	14
P01	3	5	CS43	R1	-0.00337950151125998	0	14
P01	3	6	CS43	R2	-0.0073217730476976	0	14
P01	3	7	CS44	R1	0.00745314686194823	0	14
P01	3	8	CS47	R1	-0.0064477589766973	0	14
P01	3	9	CS47	R2	-0.000971582020903266	0	14
P01	3	10	CS48	R1	0.00859450498662201	0	14
P01	3	11	CS48	R2	0.00233950032362873	0	14
P01	3	12	CS49	R1	-0.00250092550283828	0	12
P01	3	13	CS49	R2	-0.00230899059868944	0	14
P01	3	14	CS51	R1	0.00617497495846278	0	14
P01	3	15	CS51	R2	-0.00195567426541811	0	12
P01	3	16	CS53	R1	-3.77776202581157e-05	0	12
P01	3	17	CS53	R2	0.00444447173213335	0	8
P01	3	18	CS54	R1	-0.00337508671052156	0	7
P01	3	19	CS54	R2	0.00311993500586996	0	7
P01	3	20	CS55	R1	0.000854694965697236	0	14
P01	3	21	CS55	R2	0.00610933820490264	0	14
P01	3	22	CS56	R1	-0.00518317097465814	0	12
P01	3	23	CS56	R2	-0.00642081466828766	0	12
P01	3	24	CS57	R1	-0.00343665065498927	0	12
P01	3	25	CS57	R2	-0.00880259524290172	0	12
P01	3	26	CS58	R1	-0.00230309000757429	0	7
P01	3	27	CS60	R1	0.000947604051265475	0	14
P01	3	28	CS62	R1	-0.00337260834423933	0	7
P01	3	29	CS62	R2	-0.004367166733079	0	7
P01	4	1	CS41	R1	-0.00218762395889648	0	14
P01	4	2	CS41	R2	0.00339194630557035	0	14
P01	4	3	CS42	R1	-0.000920906688169096	0	14
P01	4	4	CS42	R2	0.00339915091605985	0	14
P01	4	5	CS43	R1	-0.0041217420638101	0	14
P01	4	6	CS43	R2	-0.00270474558754125	0	14
P01	4	7	CS44	R1	0.00247942516114192	0	14
P01	4	8	CS47	R1	0.0049237547759125	0	14
P01	4	9	CS47	R2	-0.00455018711730759	0	14
P01	4	10	CS48	R1	-0.000843396209836985	0	14
P01	4	11	CS48	R2	-0.000431005750424196	0	14
