check	status	detail
contract schema, execution flags, 768 plan	PASS	frozen contract; main_run_authorized flipped true 2026-09-02 after user-adjudicated route b
parent and input SHA256	PASS	P0-2 parent, historical edgeguard reference, input hash manifest
P10 deterministic FFT specification	PASS	P10 formula/support/RMS/peak-bin
Mpower identity P01/1	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/1	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/1	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/1	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 1	PASS	frozen generator delegate
P01 canonical truth 1	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 1	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 1	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/1	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/1	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/1	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/2	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/2	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/2	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/2	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 2	PASS	frozen generator delegate
P01 canonical truth 2	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 2	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 2	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/2	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/2	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/2	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/3	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/3	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/3	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/3	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 3	PASS	frozen generator delegate
P01 canonical truth 3	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 3	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 3	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/3	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/3	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/3	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/4	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/4	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/4	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/4	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 4	PASS	frozen generator delegate
P01 canonical truth 4	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 4	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 4	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/4	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/4	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/4	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/5	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/5	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/5	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/5	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 5	PASS	frozen generator delegate
P01 canonical truth 5	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 5	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 5	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/5	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/5	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/5	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/6	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/6	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/6	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/6	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 6	PASS	frozen generator delegate
P01 canonical truth 6	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 6	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 6	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/6	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/6	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/6	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/7	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/7	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/7	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/7	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 7	PASS	frozen generator delegate
P01 canonical truth 7	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 7	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 7	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/7	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/7	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/7	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/8	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/8	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/8	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/8	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 8	PASS	frozen generator delegate
P01 canonical truth 8	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 8	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 8	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/8	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/8	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/8	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/9	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/9	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/9	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/9	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 9	PASS	frozen generator delegate
P01 canonical truth 9	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 9	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 9	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/9	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/9	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/9	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/10	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/10	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/10	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/10	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 10	PASS	frozen generator delegate
P01 canonical truth 10	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 10	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 10	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/10	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/10	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/10	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/11	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/11	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/11	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/11	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 11	PASS	frozen generator delegate
P01 canonical truth 11	PASS	addendum 5.2: scenario/effect/gain fields
