arm	run	seed_index	Mpower_subject_mean	Mphase_subject_mean	Mpower_reject	Mphase_reject
Mphase_1p5	R1	1	0.000391225217670122	9.47885741331374e-05	0	0
Mphase_1p5	R2	1	0.00105934784445003	-0.000100201419944787	0	0
Mphase_1p5	R1	2	-0.00178074847240899	-0.000151912949944467	0	0
Mphase_1p5	R2	2	0.000524948775503868	-0.000173802600217756	0	0
Mphase_1p5	R1	3	-0.00048222544396863	-4.15555934479912e-05	0	0
Mphase_1p5	R2	3	0.000670742499669569	-2.70348349263334e-05	0	0
Mphase_1p5	R1	4	-0.00169605869012887	-3.51521002926732e-05	0	0
Mphase_1p5	R2	4	0.00119362776846733	-0.000117664498906216	0	0
Mphase_1p5	R1	5	-1.62992011964972e-05	-0.000316657129050271	0	1
Mphase_1p5	R2	5	0.000294338724482405	-0.000188585677372686	0	1
Mphase_1p5	R1	6	-0.000472343484698533	-0.00012016573842288	0	0
Mphase_1p5	R2	6	0.000216679472622174	-0.00016120008644193	0	0
Mphase_1p5	R1	7	0.000345563514742034	6.88411465751597e-05	0	0
Mphase_1p5	R2	7	0.00144724902722119	5.43023673537481e-05	0	0
Mphase_1p5	R1	8	-0.000278608461414717	-0.000198253024746901	0	0
Mphase_1p5	R2	8	0.000637656722536857	-3.67909846957142e-05	0	0
Mphase_1p5	R1	9	0.000149651514742512	-0.000237268649831088	0	0
Mphase_1p5	R2	9	0.000604539608528779	0.000117974153503329	0	0
Mphase_1p5	R1	10	0.000356590860007328	9.21331544592991e-06	0	0
Mphase_1p5	R2	10	0.00177984443090635	-0.000201981519934408	0	0
Mphase_1p5	R1	11	0.000445338914630396	-2.89370469953285e-05	0	0
Mphase_1p5	R2	11	0.000356795982258248	-0.000245761464070822	0	1
Mphase_1p5	R1	12	0.00158915947418166	0.000100971624834245	0	0
Mphase_1p5	R2	12	0.000182518014133563	-0.00019585210840248	0	0
Mphase_1p5	R1	13	0.00113821914624534	-0.000185147172824614	0	0
Mphase_1p5	R2	13	-0.000431214008055903	0.000101683995466693	0	0
Mphase_1p5	R1	14	-0.00139971026026375	-6.11113824154172e-05	0	0
Mphase_1p5	R2	14	-0.00246105623501572	-7.60702066027029e-05	0	0
Mphase_1p5	R1	15	0.000990715624593752	-0.000191729450032114	0	0
Mphase_1p5	R2	15	0.00180002155720481	0.000152414783269024	0	0
Mphase_1p5	R1	16	-0.00111615348949222	-0.00026281506923242	0	1
Mphase_1p5	R2	16	0.00182286348454047	8.40981381238264e-05	0	0
Mphase_1p5	R1	17	-0.00221993249487659	-0.000121511363877194	0	0
Mphase_1p5	R2	17	0.000933881139979747	-0.000211984365850294	0	0
Mphase_1p5	R1	18	0.00125568060662455	2.36722430691611e-06	0	0
Mphase_1p5	R2	18	-0.00240813036352822	-1.73423365256832e-05	0	0
Mphase_1p5	R1	19	0.00263664199582557	-8.44945445546285e-05	1	0
Mphase_1p5	R2	19	-0.000431776927034865	-3.58763888196215e-05	0	0
Mphase_1p5	R1	20	-0.000536242042578104	-0.000255346833358946	0	0
Mphase_1p5	R2	20	0.000788036140604951	0.000187415051080449	0	0
Mphase_1p5	R1	21	3.56535020397757e-05	-7.45351722608705e-05	0	0
Mphase_1p5	R2	21	0.00145890395186837	-4.74931068324783e-05	0	0
Mphase_1p5	R1	22	0.000658405720732399	-0.000102471240958243	0	0
Mphase_1p5	R2	22	-0.000410305427228781	-4.72764232005421e-05	0	0
Mphase_1p5	R1	23	1.96360869712589e-05	-0.000126037439068635	0	0
Mphase_1p5	R2	23	-0.000115930280957154	2.91288948960192e-05	0	0
Mphase_1p5	R1	24	-0.00111922824013978	-0.000136290414031611	1	0
Mphase_1p5	R2	24	-0.00121389144127894	-6.81593347237111e-06	0	0
Mphase_1p5	R1	25	-0.000479282315230444	-8.88580995033965e-05	0	0
Mphase_1p5	R2	25	-0.000405818733177551	-0.000168415937635315	0	0
Mphase_1p5	R1	26	0.00196309032935733	4.01085028410345e-05	0	0
Mphase_1p5	R2	26	-0.000522084346824395	-0.000402958463228351	0	1
Mphase_1p5	R1	27	0.00195033825222861	-8.95017295201272e-05	0	0
Mphase_1p5	R2	27	-0.000154405064832514	-0.000227798143826391	0	0
Mphase_1p5	R1	28	0.000537083840494727	-0.000103746973476192	0	0
Mphase_1p5	R2	28	0.00271837401667763	1.03223729185009e-05	0	0
Mphase_1p5	R1	29	-0.000415106301276536	-0.000171477636655734	0	0
Mphase_1p5	R2	29	0.000439451438035943	-6.65504816564721e-05	0	0
Mphase_1p5	R1	30	-0.00189452493238525	-1.73624100757577e-05	0	0
Mphase_1p5	R2	30	0.000922436382850839	7.14474885172898e-05	0	0
Mphase_1p5	R1	31	-0.000364168371846426	-2.56131453787085e-05	0	0
Mphase_1p5	R2	31	0.000197763140418549	-7.33369176037153e-05	0	0
Mphase_1p5	R1	32	0.00140281382054133	-5.14637164836251e-05	0	0
Mphase_1p5	R2	32	-0.00052505771773208	-0.000215592378221876	0	0
Mphase_1p5	R1	33	0.00162511989330539	-0.000142139495958573	0	0
Mphase_1p5	R2	33	-0.00404880308685151	-0.000289158970451005	1	1
Mphase_1p5	R1	34	-0.00242523811865601	-8.10855589598105e-05	0	0
Mphase_1p5	R2	34	0.00156508930482874	-0.000211031924070796	0	1
Mphase_1p5	R1	35	-0.000778179052465771	0.000133653589833529	0	0
Mphase_1p5	R2	35	0.00114365690827174	-0.000123926615533488	0	0
Mphase_1p5	R1	36	-0.00194512400435857	-0.000160003377635983	0	0
Mphase_1p5	R2	36	-0.00195171025249915	1.26992153034605e-05	0	0
Mphase_1p5	R1	37	-0.00146604079172646	-0.000299361904190063	0	0
Mphase_1p5	R2	37	-0.000119557586025536	-0.000544904287725415	0	1
Mphase_1p5	R1	38	-0.00159462665904296	-0.00029563478432923	0	1
Mphase_1p5	R2	38	0.000323747766026149	-0.000195884425994559	0	0
Mphase_1p5	R1	39	0.00167304983391122	-0.000176359499941638	0	1
Mphase_1p5	R2	39	0.00128139088824512	-0.000294755014957469	0	1
Mphase_1p5	R1	40	-0.000976282696453291	-0.000366807431705577	0	1
Mphase_1p5	R2	40	0.00051421031659302	-0.000269660703219792	0	1
Mphase_1p5	R1	41	0.000937748545875886	-0.000143999253483892	0	0
Mphase_1p5	R2	41	-0.00014955070131215	-0.000108250239615782	0	0
Mphase_1p5	R1	42	-0.00125860765262237	-0.000176646542622122	0	0
Mphase_1p5	R2	42	-0.0028848246598642	-0.000210678260623364	0	0
Mphase_1p5	R1	43	-0.00174628026713437	3.63548213490761e-05	0	0
Mphase_1p5	R2	43	-0.0010182600156329	-0.000175528670636151	0	0
Mphase_1p5	R1	44	3.5623422596897e-06	-0.000188907813276899	0	1
Mphase_1p5	R2	44	0.00210006995723709	-0.000414107483918324	0	1
Mphase_1p5	R1	45	-0.0018994156909264	-0.00010712696528671	1	0
Mphase_1p5	R2	45	-5.19153251847947e-05	-0.000257417283262051	0	0
Mphase_1p5	R1	46	-0.00203800950868439	1.2106329345578e-05	0	0
Mphase_1p5	R2	46	0.00195970983697551	-0.000265309531820189	0	1
Mphase_1p5	R1	47	-0.000461113401385181	-0.000236652927994766	0	0
Mphase_1p5	R2	47	-0.000944118075329034	-3.2505575917617e-05	0	0
Mphase_1p5	R1	48	-0.000929700341630452	-0.0001287378709585	0	0
Mphase_1p5	R2	48	8.29799837136348e-05	0.000111518722070824	0	0
Mphase_1p5	R1	49	0.000433377992361898	-0.000170536765092476	0	0
Mphase_1p5	R2	49	0.00259603075134361	6.68879487033095e-05	0	0
Mphase_1p5	R1	50	-0.00043530706310746	-0.000113434179114966	0	0
Mphase_1p5	R2	50	-0.00275470996403663	-0.000172738082203568	0	0
Mphase_1p5	R1	51	0.000286546158326653	-0.000316263161743306	0	0
Mphase_1p5	R2	51	-0.00247026251155552	-4.5699968936061e-05	1	0
Mphase_1p5	R1	52	-0.00043534380693513	-0.000330266668813391	0	1
Mphase_1p5	R2	52	-0.000600346464208987	-0.000203273430538558	0	0
Mphase_1p5	R1	53	0.000566759261277436	-0.000270375968187029	0	1
Mphase_1p5	R2	53	-0.00264595217918481	-0.000155922003152937	0	0
Mphase_1p5	R1	54	-0.0011882248497054	-0.00012907276200398	0	0
Mphase_1p5	R2	54	-0.00257145622312504	-0.000229428989435741	0	0
Mphase_1p5	R1	55	0.000440845897791955	-0.000242523989456164	0	1
Mphase_1p5	R2	55	-0.00025314863654756	4.81776091209535e-05	0	0
Mphase_1p5	R1	56	-0.00113843421085927	-0.000127458086439565	0	0
Mphase_1p5	R2	56	0.00182738026987582	-9.50733372258878e-05	1	0
Mphase_1p5	R1	57	-0.00166356643439618	0.000100035459056861	0	0
Mphase_1p5	R2	57	0.00146261231013386	-0.00020822873603733	0	0
Mphase_1p5	R1	58	-4.25928836240182e-05	-0.000105904354823376	0	0
Mphase_1p5	R2	58	-0.000492894919371608	-1.84421226401825e-05	0	0
Mphase_1p5	R1	59	-0.00026727238880248	2.95723027895548e-05	0	0
Mphase_1p5	R2	59	-0.00234027482477531	-0.000218947591366583	0	0
Mphase_1p5	R1	60	-0.00210267996192904	-0.000128552695865477	0	0
Mphase_1p5	R2	60	-0.000984248268264525	-0.000110653709270198	0	0
Mphase_1p5	R1	61	0.0019853011662121	-0.000343392067666273	0	1
Mphase_1p5	R2	61	-0.00115032002044001	-0.000317256290864801	0	1
Mphase_1p5	R1	62	-0.000787219865858036	-0.000215760154095012	0	0
Mphase_1p5	R2	62	-0.000224663603090299	2.21846224036185e-05	0	0
Mphase_1p5	R1	63	-0.00189340564875647	-0.000128804959732836	0	0
Mphase_1p5	R2	63	0.00106860483402465	-0.000154806379143263	0	0
Mphase_1p5	R1	64	0.0011096808462339	-0.000165865888749393	0	0
Mphase_1p5	R2	64	-0.0015717399544704	-0.00022775905231965	0	0
Mphase_1p5	R1	65	3.22516403459571e-05	-0.000101054923767924	0	0
Mphase_1p5	R2	65	-0.00148248900319099	5.21480214166937e-05	0	0
Mphase_1p5	R1	66	0.00129641484644763	6.81012835171971e-05	0	0
Mphase_1p5	R2	66	0.000907796509493387	-0.000297628211636797	0	1
Mphase_1p5	R1	67	0.00108086906827205	-0.000107732823248953	0	0
Mphase_1p5	R2	67	-0.00140977206854332	-0.000315902715487619	0	1
Mphase_1p5	R1	68	-0.000255106725049884	-8.98774776000377e-05	0	0
Mphase_1p5	R2	68	0.00191455333588634	-5.38290278127072e-05	0	0
Mphase_1p5	R1	69	0.000720321340839969	-0.000225176358097761	0	1
Mphase_1p5	R2	69	0.00241713028389279	-0.000273290519982916	0	1
Mphase_1p5	R1	70	0.000221366849473735	-0.000118902130494035	0	0
Mphase_1p5	R2	70	-0.00223263889925158	-0.000245000299058534	0	1
Mphase_1p5	R1	71	0.00106187171871798	-0.000121589739237848	0	0
Mphase_1p5	R2	71	0.00151002244099227	-0.000184234428572472	0	0
Mphase_1p5	R1	72	0.000766132546747906	-0.000101298369748742	0	0
Mphase_1p5	R2	72	-1.69956827889647e-05	-0.000124634559475739	0	0
Mphase_1p5	R1	73	-0.00144788475309274	4.77495058761623e-05	0	0
Mphase_1p5	R2	73	-0.000358806038075116	-0.000169355477846868	0	0
Mphase_1p5	R1	74	-0.00161869539527342	-0.000195366169180399	0	1
Mphase_1p5	R2	74	0.00244763028667104	-0.000340804793090255	0	0
Mphase_1p5	R1	75	-0.000594048368629408	-0.000171162327258539	0	0
Mphase_1p5	R2	75	-0.00136617228457891	-0.00012057175647816	0	0
Mphase_1p5	R1	76	0.00194135484202184	-1.82478622075877e-05	1	0
Mphase_1p5	R2	76	-1.34112523593318e-05	7.12791062411365e-05	0	0
Mphase_1p5	R1	77	-0.000222281841485701	-0.000109893766627521	0	0
Mphase_1p5	R2	77	-0.00314419428362317	-0.000172028822832175	1	0
Mphase_1p5	R1	78	-0.00239725409514269	-0.000143396506170615	0	0
Mphase_1p5	R2	78	8.85624436666113e-05	0.000177977020285368	0	0
Mphase_1p5	R1	79	0.00125307096593485	8.6425323748798e-05	0	0
Mphase_1p5	R2	79	-0.000280787975533461	4.38470570522411e-05	0	0
Mphase_1p5	R1	80	0.000303517590522738	-8.55089174401135e-05	0	0
Mphase_1p5	R2	80	0.00123650455249597	-0.000264657865051926	0	1
Mphase_1p5	R1	81	-0.00111078635713648	-0.000294621203827057	0	1
Mphase_1p5	R2	81	-0.00121798360695561	-0.00024255902808609	0	0
Mphase_1p5	R1	82	0.000259938532093834	-7.08296048271126e-05	0	0
Mphase_1p5	R2	82	0.000127716594952273	-0.000299680524849794	0	1
Mphase_1p5	R1	83	-0.00042557909063704	-0.000118574672301575	0	0
Mphase_1p5	R2	83	-0.00225479366301045	-8.07379601097559e-05	0	0
Mphase_1p5	R1	84	-0.00142926238350657	-2.50036134188265e-05	1	0
Mphase_1p5	R2	84	-0.00232860111983227	-0.00011634237133778	0	0
Mphase_1p5	R1	85	-0.000737081035254504	-0.000348480589823382	0	1
Mphase_1p5	R2	85	0.000484442239617746	-0.000261112245356683	0	1
Mphase_1p5	R1	86	-0.000511872629492767	-0.000236845639531622	0	0
Mphase_1p5	R2	86	0.00136320355716805	-0.000290564957145438	0	1
Mphase_1p5	R1	87	0.000354477772209619	3.05711952040338e-05	0	0
Mphase_1p5	R2	87	0.00166498758737542	-0.000363068669900298	0	1
Mphase_1p5	R1	88	-0.0022335346916738	-9.06424628986311e-05	0	0
Mphase_1p5	R2	88	-0.00102483118844556	-1.50821225548507e-05	0	0
Mphase_1p5	R1	89	-0.000543259089563765	-0.000294274009403138	0	1
Mphase_1p5	R2	89	0.000111915733070929	-0.000348015104706891	0	1
Mphase_1p5	R1	90	-0.000126903026882682	-0.000110811342532752	0	0
Mphase_1p5	R2	90	-0.000623059241099722	-0.000395121655872935	0	1
Mphase_1p5	R1	91	-0.00217140155774742	-4.77936097121982e-05	0	0
Mphase_1p5	R2	91	0.00052644848124742	0.000165200694125145	0	0
Mphase_1p5	R1	92	0.00107002511461472	0.000112906886599982	0	0
Mphase_1p5	R2	92	0.000376645992247718	-3.50376485147592e-05	0	0
Mphase_1p5	R1	93	-0.000329914958110331	1.28912448551398e-05	0	0
Mphase_1p5	R2	93	0.00206288711480339	-0.000168079937851586	0	0
Mphase_1p5	R1	94	-0.000929200222292122	-0.000215319588910443	0	0
Mphase_1p5	R2	94	-0.00104485531802664	8.03423283000244e-05	0	0
Mphase_1p5	R1	95	-0.000352656462119943	-0.000191973892860596	0	0
Mphase_1p5	R2	95	-0.000171275642354828	-0.00015758601802262	0	0
Mphase_1p5	R1	96	-0.000279569228123164	-0.000390742190150881	0	1
Mphase_1p5	R2	96	0.000780616465041517	9.61215575375216e-05	0	0
Mphase_1p5	R1	97	-0.00194761237175834	-3.04488186100185e-05	0	0
Mphase_1p5	R2	97	0.00034240153614156	-0.000223781739154888	0	0
Mphase_1p5	R1	98	0.000761067709772843	-0.000171700254344484	0	0
Mphase_1p5	R2	98	0.0018130384079962	-3.07871602881688e-06	0	0
Mphase_1p5	R1	99	0.000307601391852615	-0.000188802514703833	0	0
Mphase_1p5	R2	99	-0.000129320725240056	-6.21691618764365e-05	0	0
Mphase_1p5	R1	100	0.000244155330325927	-9.38228167362486e-05	0	0
Mphase_1p5	R2	100	-0.000875541365779777	-0.000119948701651175	0	0
Mphase_1p5	R1	101	-0.000312299321069022	-7.46822233843173e-05	0	0
Mphase_1p5	R2	101	0.00103898418097359	-0.000349925602760333	0	1
Mphase_1p5	R1	102	0.0019588359904151	-9.57482059120931e-05	0	0
Mphase_1p5	R2	102	0.000380246011838184	-0.000164307831750596	0	0
Mphase_1p5	R1	103	-0.000484293356436487	-0.000107173822786085	0	0
Mphase_1p5	R2	103	0.00101769399991942	-0.000233294007726948	0	0
Mphase_1p5	R1	104	0.00132981247418959	-0.000209561463389576	0	0
Mphase_1p5	R2	104	0.000374477079555171	-0.000221646881513267	0	0
Mphase_1p5	R1	105	-0.00364818995499324	-2.92951349364037e-05	1	0
Mphase_1p5	R2	105	-0.00357183738253529	-0.000261114677735547	1	0
Mphase_1p5	R1	106	0.000623305108397458	-0.000112363243850661	0	0
Mphase_1p5	R2	106	0.000397017394489207	-0.00013750654133697	0	0
Mphase_1p5	R1	107	0.000896811270301019	-0.000127713568790338	0	0
Mphase_1p5	R2	107	-0.000726827526577683	-9.43343750523448e-05	0	0
Mphase_1p5	R1	108	-0.00170610451066959	-0.000139536114806691	0	0
Mphase_1p5	R2	108	-0.00196466715281721	5.82074886294559e-05	0	0
Mphase_1p5	R1	109	-0.00269225566923906	-0.000389523149413697	0	1
Mphase_1p5	R2	109	0.00202834820403068	0.000125081544486298	0	0
Mphase_1p5	R1	110	0.000811230450028205	-3.58064001181387e-05	0	0
Mphase_1p5	R2	110	0.000713015074781144	4.06997438072707e-05	0	0
Mphase_1p5	R1	111	-0.00120250869800871	-0.000201895628499339	0	0
Mphase_1p5	R2	111	-0.000195096443734705	-0.000132598932740334	0	0
Mphase_1p5	R1	112	0.000380638615228367	0.000132449366466138	0	0
Mphase_1p5	R2	112	0.0010019714612729	-0.000117232395222501	0	0
Mphase_1p5	R1	113	0.00120308337293846	-0.000199284849587041	0	0
Mphase_1p5	R2	113	0.000593582031259596	-7.59066543833235e-05	0	0
Mphase_1p5	R1	114	-0.0013448967538066	-0.000223460856607917	0	0
Mphase_1p5	R2	114	0.00302250298918113	-0.000203108100126117	0	0
Mphase_1p5	R1	115	0.00125490394011708	-9.58601086777015e-05	0	0
Mphase_1p5	R2	115	0.00105071849878822	7.84681763090014e-05	0	0
Mphase_1p5	R1	116	-0.000104583807729728	-0.000231716408937569	0	1
Mphase_1p5	R2	116	-2.38302423386537e-05	-0.00021189810389441	0	0
Mphase_1p5	R1	117	0.00115627676509443	3.84304247583554e-06	0	0
Mphase_1p5	R2	117	-0.00155104367141052	-9.64196301522763e-05	0	0
Mphase_1p5	R1	118	-0.00068554992054845	-0.000219971040779995	0	1
Mphase_1p5	R2	118	-0.00404290308972211	4.78024253991874e-05	1	0
Mphase_1p5	R1	119	0.00088442342211014	-0.00019770060942875	0	0
Mphase_1p5	R2	119	5.14897904915726e-05	2.93268148248419e-05	0	0
Mphase_1p5	R1	120	0.000738719960427445	-0.0001944326640433	0	0
Mphase_1p5	R2	120	0.000817962240500259	-0.000311392726572993	0	1
Mphase_0p5	R1	1	-0.0010141096172919	1.06410391127651e-05	0	0
Mphase_0p5	R2	1	0.000989301583279534	-0.00047353452263567	0	1
Mphase_0p5	R1	2	-0.00372902827966518	-0.00013348412552897	0	0
Mphase_0p5	R2	2	0.00308341044665451	-0.000385008334324279	0	0
Mphase_0p5	R1	3	0.000166215691134537	-0.000133685708235823	0	0
Mphase_0p5	R2	3	-0.00194737723333377	-0.000443985221545793	0	1
Mphase_0p5	R1	4	-0.00142796490015187	-0.000285335280820322	0	1
Mphase_0p5	R2	4	0.00516376904645116	-0.000351388767131338	1	0
Mphase_0p5	R1	5	-0.00288746450256104	-0.000381686372952493	0	0
Mphase_0p5	R2	5	-0.00157599418930381	-0.000363205123279934	0	0
Mphase_0p5	R1	6	0.00277499339475809	-0.000571091972398069	0	1
Mphase_0p5	R2	6	0.00280123095989158	-0.000353026977894929	0	1
Mphase_0p5	R1	7	-0.00043426629512913	-0.000124109040556934	0	0
Mphase_0p5	R2	7	0.00114829975331453	-0.000226111304201243	0	0
Mphase_0p5	R1	8	-0.00084017686643297	1.07147679847788e-05	0	0
Mphase_0p5	R2	8	0.000484353721102742	-7.4558920486793e-05	0	0
Mphase_0p5	R1	9	0.00129198822334216	-0.000327024003164767	0	1
Mphase_0p5	R2	9	-0.00234096471465932	-0.000226951838125141	0	0
Mphase_0p5	R1	10	0.000593274342972973	-0.00033616383731395	0	1
Mphase_0p5	R2	10	-0.00108660241285692	-0.000300149169889196	0	0
Mphase_0p5	R1	11	0.000709203555196504	-0.000131256949206016	0	0
Mphase_0p5	R2	11	-0.00178956086425858	-0.000109050448609236	0	0
Mphase_0p5	R1	12	-4.19493785378034e-05	-0.00020290162389888	0	0
Mphase_0p5	R2	12	0.00121165378701996	-5.18740223916499e-05	0	0
Mphase_0p5	R1	13	0.00130684874208512	-0.000223332323539222	0	0
Mphase_0p5	R2	13	0.00136366716374707	-0.000443481707172721	0	1
Mphase_0p5	R1	14	-0.00240990627394892	-0.000362585499453102	0	1
Mphase_0p5	R2	14	0.00186530810979397	-2.14747002443789e-05	0	0
Mphase_0p5	R1	15	-0.00322673352702098	-9.82878744082123e-05	0	0
Mphase_0p5	R2	15	0.00267206889558583	-8.43175502532368e-05	0	0
Mphase_0p5	R1	16	0.00133716250387995	-0.000387558890315425	0	1
Mphase_0p5	R2	16	-0.000214294407916024	-0.000530869397926609	0	1
Mphase_0p5	R1	17	-0.00211548550394974	-0.000447059078404528	0	1
Mphase_0p5	R2	17	-0.0031034773547519	-0.000615149850923635	0	1
Mphase_0p5	R1	18	-0.00240714921302009	-0.000262946307696599	0	0
Mphase_0p5	R2	18	0.00121094514011669	-0.000313753987858759	0	0
Mphase_0p5	R1	19	0.00090087374782038	-0.000147910126724747	0	0
Mphase_0p5	R2	19	0.00122647359175664	-0.000558278799580453	0	1
Mphase_0p5	R1	20	0.00263857964610777	-0.000377724198686194	0	1
Mphase_0p5	R2	20	0.00143549185327006	-0.000330779263398381	0	1
Mphase_0p5	R1	21	0.0017967900851081	-0.000357779518918676	0	1
Mphase_0p5	R2	21	0.00210015975169632	-0.000235178694067495	0	0
Mphase_0p5	R1	22	-0.000182863770495165	-0.000118581596822324	0	0
Mphase_0p5	R2	22	0.00355625789961542	-0.00024469053523617	0	1
Mphase_0p5	R1	23	-0.0028171674737104	-8.66584610584914e-05	0	0
Mphase_0p5	R2	23	0.00204523774696117	-0.000348603079220377	0	0
Mphase_0p5	R1	24	0.00052961651213551	-0.000565602679751459	0	1
Mphase_0p5	R2	24	0.00144969897292865	-0.00029489127329853	0	1
Mphase_0p5	R1	25	-0.00340132028469478	-0.000327047891067814	0	1
