seed_index	world_seed	mode	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction
1	20860828	benchmark	median	R1	16	-2.95742532012367e-05	0.66326904296875	6.47931991915798e-05	0.148775156280795	7	9	0	0.4375
1	20860828	benchmark	median	R2	13	-0.000261120694925039	0.01953125	0.000114860143716313	0.398500178044614	3	10	0	0.230769230769231
1	20860828	benchmark	mean	R1	16	0.000132599304537158	0.063446044921875	7.24345062581055e-05	0.725733992975733	12	4	0	0.75
1	20860828	benchmark	mean	R2	13	-7.1455902006271e-05	0.396484375	8.08557813958385e-05	0.115860445576905	4	9	0	0.307692307692308
2	20860829	benchmark	median	R1	16	-0.000268570960596431	0.034942626953125	0.000130832069713321	0.718468797348481	4	12	0	0.25
2	20860829	benchmark	median	R2	13	-0.000161616227444707	0.238525390625	0.000133587842328401	1.01388511965823	3	10	0	0.230769230769231
2	20860829	benchmark	mean	R1	16	-0.000112498692440264	0.26080322265625	9.63834444795072e-05	0.709150179605391	4	12	0	0.25
2	20860829	benchmark	mean	R2	13	-7.70373605951627e-05	0.3388671875	7.86234216050861e-05	0.209245968124459	5	8	0	0.384615384615385
3	20860830	benchmark	median	R1	16	-0.000170988883234772	0.069000244140625	9.46088380918762e-05	0.0522633254644593	6	10	0	0.375
3	20860830	benchmark	median	R2	13	-0.000265981715864394	0.00634765625	0.000103030999189714	0.362522915065939	2	11	0	0.153846153846154
3	20860830	benchmark	mean	R1	16	-8.90351703535347e-05	0.27117919921875	7.88946657020906e-05	-0.206472301322668	7	9	0	0.4375
3	20860830	benchmark	mean	R2	13	-8.72730400385161e-05	0.32421875	8.45903397108943e-05	0.759076380896133	4	9	0	0.307692307692308
4	20860831	benchmark	median	R1	16	-0.000216768039476072	0.09814453125	0.000130500098671208	0.688894749997828	4	12	0	0.25
4	20860831	benchmark	median	R2	13	-0.000115708600508709	0.186279296875	8.51222338477621e-05	-0.382492792248808	4	9	0	0.307692307692308
4	20860831	benchmark	mean	R1	16	-4.32006716464724e-05	0.67041015625	9.5554720398766e-05	0.637919517753788	7	9	0	0.4375
4	20860831	benchmark	mean	R2	13	0.000144931433243375	0.140625	9.69986450139381e-05	0.553508238974352	9	4	0	0.692307692307692
5	20860832	benchmark	median	R1	16	-0.000154924655282496	0.06494140625	8.46949953759702e-05	-0.193860715063316	5	11	0	0.3125
5	20860832	benchmark	median	R2	13	-0.000160937287452884	0.12060546875	0.000103175273108836	0.783420925134251	4	9	0	0.307692307692308
5	20860832	benchmark	mean	R1	16	9.28714586296304e-05	0.222076416015625	7.45114313523662e-05	-0.922784148057848	10	6	0	0.625
5	20860832	benchmark	mean	R2	13	1.35470862459797e-05	0.865478515625	7.69793983161498e-05	0.0545958576196065	6	7	0	0.461538461538462
6	20860833	benchmark	median	R1	16	-0.000117899119457975	0.28564453125	0.000108182419343276	0.43086310174328	4	12	0	0.25
6	20860833	benchmark	median	R2	13	-5.69594070799531e-05	0.620849609375	0.000105808001264678	1.56269296766066	3	10	0	0.230769230769231
6	20860833	benchmark	mean	R1	16	-3.01809034218756e-05	0.714752197265625	7.75183134557625e-05	-0.0138289770699605	7	9	0	0.4375
6	20860833	benchmark	mean	R2	13	0.000109903802928542	0.4013671875	0.000118922456316	1.22482077701012	7	6	0	0.538461538461538
7	20860834	benchmark	median	R1	16	-8.51133188851133e-05	0.386322021484375	9.59161953380067e-05	0.104344484111514	8	8	0	0.5
7	20860834	benchmark	median	R2	13	-9.96481502507648e-05	0.3056640625	9.51434345847125e-05	0.189700346459698	5	8	0	0.384615384615385
7	20860834	benchmark	mean	R1	16	5.44262544523018e-05	0.616485595703125	9.82017157644129e-05	1.03266253252342	7	9	0	0.4375
7	20860834	benchmark	mean	R2	13	-2.27139476224714e-05	0.814453125	9.34854853709065e-05	0.0999540062200407	7	6	0	0.538461538461538
8	20860835	benchmark	median	R1	16	-0.000157431485930321	0.08367919921875	9.09757378221745e-05	-0.154550639382392	7	9	0	0.4375
8	20860835	benchmark	median	R2	13	-8.32007982511307e-05	0.635009765625	0.000168714816993934	0.561725883565899	5	8	0	0.384615384615385
