seed_index	world_seed	run_kind	arm	J_contract	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	effective_contract_sha256	background_world_sha256
1	20860828	formal	J32_reference	32	median	R1	16	-2.95742532012367e-05	0.66326904296875	6.47931991915798e-05	0.148775156280795	7	9	0	0.4375	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
1	20860828	formal	J32_reference	32	median	R2	13	-0.000261120694925039	0.01953125	0.000114860143716313	0.398500178044614	3	10	0	0.230769230769231	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
1	20860828	formal	J32_reference	32	mean	R1	16	0.000132599304537158	0.063446044921875	7.24345062581055e-05	0.725733992975733	12	4	0	0.75	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
1	20860828	formal	J32_reference	32	mean	R2	13	-7.1455902006271e-05	0.396484375	8.08557813958385e-05	0.115860445576905	4	9	0	0.307692307692308	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
1	20860828	formal	J256_high	256	median	R1	16	-7.09581604132941e-05	0.178619384765625	5.17620661921949e-05	0.688504195745743	5	11	0	0.3125	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
1	20860828	formal	J256_high	256	median	R2	13	-0.000287456870982209	0.00634765625	0.000113263115641514	0.0940941838472971	2	11	0	0.153846153846154	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
1	20860828	formal	J256_high	256	mean	R1	16	0.000134194385164785	0.051055908203125	7.17112877519342e-05	1.00557621622337	11	5	0	0.6875	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
1	20860828	formal	J256_high	256	mean	R2	13	-9.96375096488067e-05	0.267333984375	8.67789577299694e-05	0.110939376625579	4	9	0	0.307692307692308	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	B7A62B55CCD560E8D94C7C0820EE84DA6F337FE184B65D8110E811A2825A5864
2	20860829	formal	J32_reference	32	median	R1	16	-0.000268570960596431	0.034942626953125	0.000130832069713321	0.718468797348481	4	12	0	0.25	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
2	20860829	formal	J32_reference	32	median	R2	13	-0.000161616227444707	0.238525390625	0.000133587842328401	1.01388511965823	3	10	0	0.230769230769231	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
2	20860829	formal	J32_reference	32	mean	R1	16	-0.000112498692440264	0.26080322265625	9.63834444795072e-05	0.709150179605391	4	12	0	0.25	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
2	20860829	formal	J32_reference	32	mean	R2	13	-7.70373605951627e-05	0.3388671875	7.86234216050861e-05	0.209245968124459	5	8	0	0.384615384615385	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
2	20860829	formal	J256_high	256	median	R1	16	-0.000218496263214352	0.08953857421875	0.000128453129833641	1.2112974135153	3	13	0	0.1875	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
2	20860829	formal	J256_high	256	median	R2	13	-0.000134955225039997	0.281005859375	0.000121451218749589	1.03112764206183	3	10	0	0.230769230769231	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
2	20860829	formal	J256_high	256	mean	R1	16	-9.52969043986915e-05	0.292266845703125	8.74837277026594e-05	0.920132826729647	4	12	0	0.25	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
2	20860829	formal	J256_high	256	mean	R2	13	-7.8613788787028e-05	0.273681640625	7.03586763051398e-05	0.580215285513054	4	9	0	0.307692307692308	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	3245AFABCF11958118E15FB176464F9911CE54B7274C0109DE68C39C88A2A892
3	20860830	formal	J32_reference	32	median	R1	16	-0.000170988883234772	0.069000244140625	9.46088380918762e-05	0.0522633254644593	6	10	0	0.375	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
3	20860830	formal	J32_reference	32	median	R2	13	-0.000265981715864394	0.00634765625	0.000103030999189714	0.362522915065939	2	11	0	0.153846153846154	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
3	20860830	formal	J32_reference	32	mean	R1	16	-8.90351703535347e-05	0.27117919921875	7.88946657020906e-05	-0.206472301322668	7	9	0	0.4375	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
3	20860830	formal	J32_reference	32	mean	R2	13	-8.72730400385161e-05	0.32421875	8.45903397108943e-05	0.759076380896133	4	9	0	0.307692307692308	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
3	20860830	formal	J256_high	256	median	R1	16	-0.000166610256398301	0.06011962890625	8.96074673734666e-05	0.088462287217795	5	11	0	0.3125	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
3	20860830	formal	J256_high	256	median	R2	13	-0.000337493254233982	0.00146484375	0.000115286397994323	0.437806322210383	2	11	0	0.153846153846154	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
3	20860830	formal	J256_high	256	mean	R1	16	-8.39537891886058e-05	0.27838134765625	7.56243777272254e-05	-0.0506257523326451	6	10	0	0.375	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
3	20860830	formal	J256_high	256	mean	R2	13	-0.000110405660502909	0.204345703125	8.38047458560001e-05	0.429573270643419	4	9	0	0.307692307692308	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	C4458070876486EA7B65AAF353A478AA7A0388077B878F91E66A682077A9F441
4	20860831	formal	J32_reference	32	median	R1	16	-0.000216768039476072	0.09814453125	0.000130500098671208	0.688894749997828	4	12	0	0.25	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	CB954F6CB597E8D617B0564CD09137E080F8FB03558FB4DE3598A60BE45A111B
4	20860831	formal	J32_reference	32	median	R2	13	-0.000115708600508709	0.186279296875	8.51222338477621e-05	-0.382492792248808	4	9	0	0.307692307692308	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	CB954F6CB597E8D617B0564CD09137E080F8FB03558FB4DE3598A60BE45A111B
4	20860831	formal	J32_reference	32	mean	R1	16	-4.32006716464724e-05	0.67041015625	9.5554720398766e-05	0.637919517753788	7	9	0	0.4375	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	CB954F6CB597E8D617B0564CD09137E080F8FB03558FB4DE3598A60BE45A111B
4	20860831	formal	J32_reference	32	mean	R2	13	0.000144931433243375	0.140625	9.69986450139381e-05	0.553508238974352	9	4	0	0.692307692307692	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	CB954F6CB597E8D617B0564CD09137E080F8FB03558FB4DE3598A60BE45A111B
