seed_index	world_seed	mode	arm	kappa	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
1	22360828	benchmark	P0	0	median	R1	16	-0.000190057066688204	0.055633544921875	0.000100050018053198	0.222520965825403	5	11	0	0.3125	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P0	0	median	R2	13	-8.14431118222788e-05	0.1044921875	4.98834930827533e-05	-0.0807038074101604	5	8	0	0.384615384615385	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P0	0	mean	R1	16	-8.13763684623494e-05	0.336212158203125	8.30050607174026e-05	0.177290217575716	7	9	0	0.4375	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P0	0	mean	R2	13	5.78176264162241e-05	0.57666015625	9.80481305448126e-05	0.536170617446144	6	7	0	0.461538461538462	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P4	4	median	R1	16	-0.0081397848397815	3.0517578125e-05	0.00224088480163175	0.0743119984450448	0	16	0	0	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P4	4	median	R2	13	-0.00773058341189282	0.000244140625	0.00231173104900765	0.386167920966201	0	13	0	0	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P4	4	mean	R1	16	-0.00887222487580866	3.0517578125e-05	0.00241555629803879	-0.114934790841019	0	16	0	0	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P4	4	mean	R2	13	-0.0082117094187122	0.000244140625	0.00241212981585738	0.520065632114	0	13	0	0	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
2	22360829	benchmark	P0	0	median	R1	16	-0.000129678790794264	0.125396728515625	8.3368064457091e-05	-0.453110730474702	5	11	0	0.3125	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P0	0	median	R2	13	-0.000131300138425328	0.324951171875	0.00012953663908226	0.644378117438921	5	8	0	0.384615384615385	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P0	0	mean	R1	16	6.11311295322875e-06	0.935150146484375	7.04481665335112e-05	0.131168294522676	8	8	0	0.5	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P0	0	mean	R2	13	-3.30194903682038e-05	0.794921875	0.000119617916900145	0.539942486201419	6	7	0	0.461538461538462	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P4	4	median	R1	16	-0.00614426851762175	3.0517578125e-05	0.00179924478514282	-1.65549544482291	0	16	0	0	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P4	4	median	R2	13	-0.00468078863428758	0.000244140625	0.00152083122675837	-1.16112444140735	0	13	0	0	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P4	4	mean	R1	16	-0.006574697614927	3.0517578125e-05	0.00187820838077738	-1.67425817768138	0	16	0	0	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P4	4	mean	R2	13	-0.00564002406723923	0.000244140625	0.00171658362279913	-0.285300157407226	0	13	0	0	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
3	22360830	benchmark	P0	0	median	R1	16	-0.000256651491402954	0.004150390625	9.6474424673253e-05	0.432239785097428	2	14	0	0.125	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
3	22360830	benchmark	P0	0	median	R2	13	-0.000205938280473848	0.124755859375	0.000133197852676587	0.863925670574071	3	10	0	0.230769230769231	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
3	22360830	benchmark	P0	0	mean	R1	16	-6.51189250581458e-05	0.36590576171875	6.92636110265723e-05	-0.39348651328266	7	9	0	0.4375	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
3	22360830	benchmark	P0	0	mean	R2	13	-9.37222029742945e-05	0.42626953125	0.000113129482773309	0.6517676717009	6	7	0	0.461538461538462	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
3	22360830	benchmark	P4	4	median	R1	16	-0.00866728325271618	3.0517578125e-05	0.00253085233292977	-1.19743535718045	0	16	0	0	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
3	22360830	benchmark	P4	4	median	R2	13	-0.00925975919810613	0.000244140625	0.00294390545553714	-0.855959657410074	0	13	0	0	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
3	22360830	benchmark	P4	4	mean	R1	16	-0.00888162825679135	3.0517578125e-05	0.00254531881214596	-0.875883203210764	0	16	0	0	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
