seed_index	arm	observed_ppc_mean	surrogate_ppc_mean	frac_pairs_negative	n_pairs
1	P0	-2.3219762292257124e-05	1.7722334865876494e-05	0.5783475783475783	351
1	P4	0.02666618338388496	0.035437232359148946	0.9686609686609686	351
2	P0	2.5428202370998426e-05	2.852547984553616e-05	0.5384615384615384	351
2	P4	0.0207325584906122	0.02698180958195462	0.9145299145299145	351
3	P0	-6.0556678409617865e-05	2.5164633765698916e-05	0.6096866096866097	351
3	P4	0.03084033886823756	0.04035922073872146	0.9373219373219374	351
4	P0	-0.00017942054566528023	-8.51664802302225e-06	0.5954415954415955	351
4	P4	0.022702977510728216	0.02959150957400131	0.9230769230769231	351
5	P0	5.35493251509354e-05	0.0001025308435049692	0.5811965811965812	351
5	P4	0.022372167517016966	0.028845032792475533	0.9259259259259259	351
6	P0	-5.292305307625006e-05	5.6994537927776227e-05	0.5954415954415955	351
6	P4	0.0222088716477759	0.029222809389970367	0.9173789173789174	351
7	P0	-5.172242518206881e-05	7.470842869135783e-05	0.6467236467236467	351
7	P4	0.024165293488919163	0.031820890159989866	0.9373219373219374	351
8	P0	-8.735320141611556e-05	4.474131681676601e-06	0.6467236467236467	351
8	P4	0.02811345706518358	0.0367049109492695	0.9316239316239316	351
9	P0	-0.00014032777469506823	5.5261754140870626e-05	0.6410256410256411	351
9	P4	0.028776575178589694	0.03775533143571615	0.9601139601139601	351
10	P0	-5.275191913325311e-05	4.672219675644278e-06	0.5868945868945868	351
10	P4	0.03422239943953887	0.044696452259310446	0.9572649572649573	351
11	P0	3.5318317392330106e-05	0.00010843647604056465	0.5754985754985755	351
11	P4	0.023529364690070914	0.03112585862127402	0.9458689458689459	351
12	P0	1.3594588783051332e-05	5.98990520355692e-05	0.5897435897435898	351
12	P4	0.023727057443663453	0.031123206955292814	0.9287749287749287	351
13	P0	6.712834999531472e-05	6.416419479342946e-05	0.5612535612535613	351
13	P4	0.023268614402571268	0.03008551569616256	0.9316239316239316	351
14	P0	4.568322801479039e-05	2.3093733566177855e-05	0.5754985754985755	351
14	P4	0.023919051006246833	0.032332722306190956	0.9487179487179487	351
15	P0	8.97247676913489e-05	0.00010628184133872104	0.5754985754985755	351
15	P4	0.02321967574649051	0.03085856610423222	0.9373219373219374	351
16	P0	-0.0001400523244631816	1.6884023869709113e-05	0.6210826210826211	351
16	P4	0.025390210042525157	0.03288218876071898	0.9344729344729344	351
17	P0	8.20492357333281e-05	9.184626906407534e-05	0.5754985754985755	351
17	P4	0.023324436422930767	0.03104410690799889	0.9430199430199431	351
18	P0	-1.272194300842112e-05	0.00010934854312148458	0.6381766381766382	351
18	P4	0.025032372032441432	0.032278194692984916	0.905982905982906	351
19	P0	1.0413787414485626e-06	9.30233600812382e-05	0.6267806267806267	351
19	P4	0.02389054113423208	0.03167567543745037	0.9601139601139601	351
20	P0	8.949773703371766e-06	9.55467571401754e-05	0.603988603988604	351
20	P4	0.027419306496048984	0.0355763298800811	0.9515669515669516	351
21	P0	-9.508569615459961e-05	8.761117714207836e-05	0.6239316239316239	351
21	P4	0.023668815539770037	0.03135497138633492	0.9515669515669516	351
22	P0	-3.67063591785961e-05	2.1089524541710344e-05	0.5925925925925926	351
22	P4	0.02555601293741695	0.03327748717410527	0.9316239316239316	351
23	P0	-7.490236268344694e-05	4.110270806258683e-05	0.6210826210826211	351
23	P4	0.029554385195471464	0.03854293858991965	0.9487179487179487	351
24	P0	-5.177926496688027e-06	0.00016983569680967522	0.6438746438746439	351
24	P4	0.02176759334297686	0.029101267850020502	0.9401709401709402	351
25	P0	-5.433946461806935e-05	7.280364434378377e-05	0.603988603988604	351
25	P4	0.02909566700736791	0.03794636716539753	0.9487179487179487	351
26	P0	-2.1278929341488343e-05	4.8484256894371165e-05	0.584045584045584	351
26	P4	0.02564335678486649	0.03331995929874317	0.9116809116809117	351
27	P0	-8.634250668557328e-05	-4.2476719801432323e-07	0.6182336182336182	351
27	P4	0.02885411916683134	0.03816067754000857	0.9401709401709402	351
28	P0	-9.316232387526934e-07	3.0356313156980177e-05	0.5783475783475783	351
28	P4	0.026958233449668953	0.035033104771489305	0.9344729344729344	351
29	P0	-5.714590279437135e-05	7.949018182835669e-05	0.603988603988604	351
29	P4	0.026624744849437665	0.03482143321358888	0.9572649572649573	351
30	P0	0.00010989507270449464	0.0001425609444290543	0.5811965811965812	351
30	P4	0.022352321176837414	0.029267581122930496	0.9344729344729344	351
31	P0	3.528854261109102e-05	6.45278113744409e-05	0.6210826210826211	351
31	P4	0.023166771824949313	0.03077293060164558	0.9259259259259259	351
32	P0	0.00010980219831248539	0.00010534238077133912	0.5498575498575499	351
32	P4	0.025540543080078693	0.033489278684925294	0.9373219373219374	351
33	P0	-9.235710008589967e-05	-1.5394495652164086e-06	0.603988603988604	351
33	P4	0.022542142408857487	0.030107804918069157	0.9544159544159544	351
34	P0	-3.900425503322533e-05	2.847171925540986e-05	0.6210826210826211	351
34	P4	0.024047976100263612	0.03106633106687841	0.9088319088319088	351
35	P0	7.988747888308584e-06	6.033423922893466e-05	0.6011396011396012	351
35	P4	0.020510753120071133	0.026527687204522258	0.9145299145299145	351
36	P0	7.315134726573843e-05	4.81260950515119e-05	0.5754985754985755	351
36	P4	0.020753900861156763	0.027422612603479255	0.9430199430199431	351
37	P0	-0.00017027044979010233	-7.234353614383834e-06	0.6410256410256411	351
37	P4	0.026758119709844687	0.034722660874067515	0.9572649572649573	351
38	P0	4.566775531041916e-05	0.00011021439770022811	0.5954415954415955	351
38	P4	0.021930538243377987	0.028856938838109324	0.9316239316239316	351
39	P0	-0.00011999149746144917	2.5073441646026203e-05	0.6182336182336182	351
39	P4	0.02225645706699531	0.029541637700679683	0.9344729344729344	351
40	P0	-3.7219972124622964e-05	8.390630188974942e-05	0.5754985754985755	351
40	P4	0.026205362788386283	0.03445870766948561	0.9230769230769231	351
41	P0	2.168403532922057e-05	0.00015135155157403716	0.5982905982905983	351
41	P4	0.021674417480578457	0.028555622824361748	0.886039886039886	351
42	P0	-6.039152458737044e-05	9.729923160010948e-05	0.6353276353276354	351
