seed_index	world_seed	mode	arm	kappa	gain_slope_b	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
1	22360828	benchmark	P0F	0	0	median	R1	16	-0.000266142481416969	0.000396728515625	9.85472072920256e-05	-1.29708280292095	2	14	0	0.125	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P0F	0	0	median	R2	13	-0.000103803123088132	0.27001953125	9.24333375057577e-05	-8.82307457149508e-05	6	7	0	0.461538461538462	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P0F	0	0	mean	R1	16	-2.56892510394171e-05	0.68280029296875	5.92410670594266e-05	-0.703848704995954	10	6	0	0.625	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
1	22360828	benchmark	P0F	0	0	mean	R2	13	6.20477168532434e-05	0.343505859375	6.356447595684e-05	-1.06583351723763	9	4	0	0.692307692307692	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	B330D5AECD80B1E30949F7A04DE7000F6D9850B1DB6D845744B020A3AB103B86	4.61799281479342	G06
2	22360829	benchmark	P0F	0	0	median	R1	16	-0.000113134149384266	0.102508544921875	6.88978060145396e-05	-0.0569655503601953	5	11	0	0.3125	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P0F	0	0	median	R2	13	-7.42268733593306e-05	0.431884765625	8.4179162248379e-05	-1.30195324509896	7	6	0	0.538461538461538	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P0F	0	0	mean	R1	16	-2.82995346933716e-05	0.760101318359375	8.50359859458118e-05	1.18251083527017	6	10	0	0.375	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
2	22360829	benchmark	P0F	0	0	mean	R2	13	6.42841609802614e-05	0.47802734375	8.32980200965048e-05	-1.51928875444939	8	5	0	0.615384615384615	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	B1E078221C167C39197F2397041766133CB909CF1A38DB7E61992CC78D8701E2	4.61799281479342	G06
3	22360830	benchmark	P0F	0	0	median	R1	16	-0.000224102072722307	0.0023193359375	8.10262195954175e-05	-0.220978618721576	4	12	0	0.25	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
3	22360830	benchmark	P0F	0	0	median	R2	13	-0.000195768225276774	0.055419921875	0.000103543014135813	0.45789821210038	3	10	0	0.230769230769231	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	A4D2ABA7BAAA8A356548311E267EE3E5AE8D1374F59C442C5C4F669E5B46F934	4.61799281479342	G06
